model,image,cam_std_region_weighted,cam_std_panoramic,cam_mean_abs_diff,cam_max_abs_diff
ccnet,cropped_2_17,0.271513432264328,0.2715133726596832,1.4959596228436567e-08,0.003921568393707275
ccnet,cropped_4_31,0.20761433243751526,0.20761433243751526,0.0,0.0
ccnet,cropped_6_23,0.1126534715294838,0.1126534715294838,0.0,0.0
ccnet,cropped_9_17,0.06340280920267105,0.06340280920267105,0.0,0.0
ccnet,cropped_11_15,0.22374652326107025,0.22374649345874786,2.9919192456873134e-08,0.00784313678741455
danet,cropped_2_17,0.25942906737327576,0.25942906737327576,1.4959596228436567e-08,0.003921568393707275
danet,cropped_4_31,0.21294115483760834,0.21294115483760834,0.0,0.0
danet,cropped_6_23,0.11793818324804306,0.11793818324804306,0.0,0.0
danet,cropped_9_17,0.06513518840074539,0.06513518840074539,0.0,0.0
danet,cropped_11_15,0.2397904098033905,0.2397904098033905,0.0,0.0
fcn,cropped_2_17,0.24466225504875183,0.24466225504875183,0.0,0.0
fcn,cropped_4_31,0.21287310123443604,0.21287310123443604,0.0,0.0
fcn,cropped_6_23,0.13061918318271637,0.13061918318271637,0.0,0.0
fcn,cropped_9_17,0.06678713113069534,0.06678713113069534,0.0,0.0
fcn,cropped_11_15,0.22351907193660736,0.22351907193660736,0.0,0.0
